字符  出现次数  对应的编码  
A     1         1000001110  
B     8         0100010     
C     1         1000001111  
D     1         1000001100  
E     2         100000100   
F     2         100000101   
G     3         110111001   
H     4         10000000    
I     6         11011101    
M     2         1101111010  
N     1         1000001101  
P     1         11011100010 
R     5         10001101    
S     4         10000001    
T     3         110111100   
Y     1         11011100011 
a     60        0010        
b     10        1001101     
c     14        010000      
d     45        11001       
e     129       011         
f     21        110110      
g     16        100001      
h     64        0101        
i     60        0011        
j     1         1101110000  
k     2         1101111011  
l     46        11010       
m     26        00000       
n     42        11000       
o     79        1010        
p     9         1000111     
r     38        10010       
s     57        0001        
t     82        1011        
u     16        010010      
v     17        100010      
w     20        100111      
y     16        010011      
'     7         11011111    
空格  216       111         
.     27        00001       
回车  8         0100011     
?     4         10001100    
,     9         1001100     
